1;EPSG:3819;HD1909;+proj=longlat +ellps=bessel +towgs84=595.48,121.69,515.35,4.115,-2.9383,0.853,-3.408 +no_defs
2;EPSG:3821;TWD67;+proj=longlat +ellps=aust_SA +no_defs
3;EPSG:3824;TWD97;+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs
4;EPSG:3889;IGRS;+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs
5;EPSG:3906;MGI 1901;+proj=longlat +ellps=bessel +towgs84=682,-203,480,0,0,0,0 +no_defs
6;EPSG:4001;Unknown datum based upon the Airy 1830 ellipsoid;+proj=longlat +ellps=airy +no_defs
7;EPSG:4002;Unknown datum based upon the Airy Modified 1849 ellipsoid;+proj=longlat +ellps=mod_airy +no_defs
8;EPSG:4003;Unknown datum based upon the Australian National Spheroid;+proj=longlat +ellps=aust_SA +no_defs
9;EPSG:4004;Unknown datum based upon the Bessel 1841 ellipsoid;+proj=longlat +ellps=bessel +no_defs
10;EPSG:4005;Unknown datum based upon the Bessel Modified ellipsoid;+proj=longlat +a=6377492.018 +b=6356173.508712696 +no_defs
11;EPSG:4006;Unknown datum based upon the Bessel Namibia ellipsoid;+proj=longlat +ellps=bess_nam +no_defs
12;EPSG:4007;Unknown datum based upon the Clarke 1858 ellipsoid;+proj=longlat +a=6378293.645208759 +b=6356617.987679838 +no_defs
13;EPSG:4008;Unknown datum based upon the Clarke 1866 ellipsoid;+proj=longlat +ellps=clrk66 +no_defs
14;EPSG:4009;Unknown datum based upon the Clarke 1866 Michigan ellipsoid;+proj=longlat +a=6378450.047548896 +b=6356826.621488444 +no_defs
15;EPSG:4010;Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid;+proj=longlat +a=6378300.789 +b=6356566.435 +no_defs
16;EPSG:4011;Unknown datum based upon the Clarke 1880 (IGN) ellipsoid;+proj=longlat +a=6378249.2 +b=6356515 +no_defs
17;EPSG:4012;Unknown datum based upon the Clarke 1880 (RGS) ellipsoid;+proj=longlat +ellps=clrk80 +no_defs
18;EPSG:4013;Unknown datum based upon the Clarke 1880 (Arc) ellipsoid;+proj=longlat +a=6378249.145 +b=6356514.966398753 +no_defs
19;EPSG:4014;Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid;+proj=longlat +a=6378249.2 +b=6356514.996941779 +no_defs
20;EPSG:4015;Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid;+proj=longlat +a=6377276.345 +b=6356075.41314024 +no_defs
21;EPSG:4016;Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid;+proj=longlat +ellps=evrstSS +no_defs
22;EPSG:4018;Unknown datum based upon the Everest 1830 Modified ellipsoid;+proj=longlat +a=6377304.063 +b=6356103.038993155 +no_defs
23;EPSG:4019;Unknown datum based upon the GRS 1980 ellipsoid;+proj=longlat +ellps=GRS80 +no_defs
24;EPSG:4020;Unknown datum based upon the Helmert 1906 ellipsoid;+proj=longlat +ellps=helmert +no_defs
25;EPSG:4021;Unknown datum based upon the Indonesian National Spheroid;+proj=longlat +a=6378160 +b=6356774.50408554 +no_defs
26;EPSG:4022;Unknown datum based upon the International 1924 ellipsoid;+proj=longlat +ellps=intl +no_defs
27;EPSG:4023;MOLDREF99;+proj=longlat +ellps=GRS80 +no_defs
28;EPSG:4024;Unknown datum based upon the Krassowsky 1940 ellipsoid;+proj=longlat +ellps=krass +no_defs
29;EPSG:4025;Unknown datum based upon the NWL 9D ellipsoid;+proj=longlat +ellps=WGS66 +no_defs
30;EPSG:4027;Unknown datum based upon the Plessis 1817 ellipsoid;+proj=longlat +a=6376523 +b=6355862.933255573 +no_defs
31;EPSG:4028;Unknown datum based upon the Struve 1860 ellipsoid;+proj=longlat +a=6378298.3 +b=6356657.142669561 +no_defs
32;EPSG:4029;Unknown datum based upon the War Office ellipsoid;+proj=longlat +a=6378300 +b=6356751.689189189 +no_defs
